[(12.977352, 77.71888899999999)],[ChIJr5DbPAsRrjsRLJ_UuckuHmQ]
[(12.91852, 77.58350700000005)],[ChIJX3Hf7pcVrjsRH_Uk56zPrxs]
[(12.931794, 77.58621300000004)],[ChIJBT1Iv6IVrjsR_jEYvgYW1TQ]
[(12.9736084, 77.64122010000006)],[ChIJJ2VuPaYWrjsRbKWKPOxLsYI]
[(12.9861934, 77.58194579999997)],[ChIJmZojARUWrjsRST29FiMmNnI]
[(12.929771, 77.56679099999997)],[ChIJ1a7LXJYVrjsRlcYt4UNs4-E]
[(12.996549, 77.69677000000001)],[ChIJyxfT4woRrjsRVjJu_ROcvhA]
[(12.928001, 77.63433399999997)],[ChIJ426OkvcUrjsRXxtsQMB0NLI]
[(12.9443596, 77.57245590000002)],[ChIJq6qq-vIVrjsRY7JB00AjpI0]
[(13.0027665, 77.57053919999998)],[ChIJs9ZaEiUWrjsRlxViUW85d9I]
[(13.013383, 77.61663299999998)],[ChIJWWY_fv0WrjsRhHPC07_BDv8]
[(12.9721687, 77.65283380000005)],[ChIJ5-u72qoWrjsRUdLcYQU5t3U]
[(12.923709, 77.61848599999996)],[ChIJJ9_oTuMUrjsRV6bbW1BZrGE]
[(12.9669643, 77.64172740000004)],[ChIJtc26Lh0UrjsRq3cP2MxYkzw]
[(13.0105827, 77.55475969999998)],[ChIJZeh1pHg9rjsRJHojq_m23AE]
[(12.9331472, 77.58481140000004)],[ChIJAavkVb0VrjsR1blg3jPtQHQ]
[(12.9868858, 77.73638979999998)],[ChIJcbJiGOURrjsRiiFUazDrRX8]
[(12.9735564, 77.64122010000006)],[ChIJ2R1woqUWrjsRuZPfQzOesDs]
[(12.9262274, 77.67526969999994)],[ChIJDQnW5p8TrjsRABPukJyaXCw]
[(12.9344769, 77.61144860000002)],[ChIJyQsHhU0UrjsRIZ0FqyAXJAQ]
[(12.9122374, 77.6809915)],[ChIJ94ftNBITrjsR0nigZSekTw4]
[(12.9869919, 77.60194550000006)],[ChIJcaie1GYWrjsRc4jgMjsLarA]
[(12.98471, 77.60689000000002)],[ChIJr3SCHWIWrjsRWlKYy8Pcaww]
[(12.9968794, 77.69684669999992)],[ChIJSX-5_AoRrjsRkR6JNcIzRLk]
[(12.985878, 77.55408290000003)],[ChIJ-9edGvM9rjsRvEE0hjucVM8]
[(12.9967892, 77.56154700000002)],[ChIJedyNLIg9rjsRGSXjcolof8E]
[(12.9896803, 77.60386979999998)],[ChIJE6r6m2AWrjsR-T_oopwdkNA]
[(12.9345852, 77.61124280000001)],[ChIJtZnSmk0UrjsRQFncVWlJDKQ]
[(12.8845097, 77.60355219999997)],[ChIJucCHr_0UrjsRlcR46ZoQn-Q]
[(12.9283339, 77.58156429999997)],[ChIJAQAA8Io9rjsRK4JAaL_PvPc]
[(12.9196595, 77.48349630000007)],[ChIJcTNMsds-rjsRA-AtgyVgHsQ]
[(12.95565, 77.72126500000002)],[ChIJ4TQJDj4SrjsRKXoo6T2dmvI]
[(12.933839, 77.61939499999994)],[ChIJ7WFtqFoUrjsRmKB6RhXfDKA]
[(12.955942, 77.72947999999997)],[ChIJ8V2owhMSrjsRCVAjm-hirlY]
[(12.9383157, 77.55532160000007)],[ChIJeRf-6CM-rjsRvvX3uWJyx6w]
[(12.9967749, 77.69673409999996)],[ChIJ-fjX4goRrjsRYHCUlevQXlc]
[(13.0105208, 77.55480899999998)],[ChIJywRkvng9rjsRLKUMMGj09Ss]
[(12.998437, 77.571504)],[ChIJs9ZaEiUWrjsRWYsS8EHqIYk]
[(12.9343872, 77.61102319999998)],[ChIJg085h00UrjsRypOE-MbCO04]
[(12.993227, 77.66204319999997)],[ChIJ8YBI1kkRrjsRTP7F4hufSkc]
[(12.9367137, 77.57553029999997)],[ChIJ8bOOl5EVrjsRY9-46xUr-fU]
[(12.944902, 77.57065399999999)],[ChIJbzNR2vIVrjsRLuV5Ew7x3Zk]
[(12.9314067, 77.58399039999995)],[ChIJlcrlGpgVrjsRtSqL1B3U9Zw]
[(13.0115203, 77.67493719999993)],[ChIJ8ZMDkyERrjsRJFDkWmqPkvk]
[(12.9732327, 77.64681819999998)],[ChIJw3X-N6kWrjsRciheViOajS8]
[(12.9265154, 77.5863273)],[ChIJoTbO8qEVrjsReNX-ob00pBo]
[(13.011571, 77.5550945)],[ChIJS0Fau3g9rjsRMZ35B1vwoBc]
[(12.983441, 77.61094100000003)],[ChIJNYxx0okWrjsRZN8fy7Sju2Y]
[(12.9162269, 77.59234249999997)],[ChIJFYdNyw4VrjsRWtR9pfV8y-I]
[(12.9920522, 77.57106720000002)],[ChIJCVOoBSMWrjsRl8driwZwK1c]
[(12.9886182, 77.53828650000003)],[ChIJXSa0Br49rjsRni_r4booQoE]
[(12.9337954, 77.50959770000009)],[ChIJkYKmSPE-rjsRkS1mSA6xNg4]
[(12.9255403, 77.54990190000001)],[ChIJeQh9AjI-rjsROBn9JHoav4Q]
[(12.9970284, 77.69680919999996)],[ChIJsftx4goRrjsRSLafWssch4Y]
[(12.9497352, 77.59679060000008)],[ChIJdXp3r8gVrjsRTQJ8qlKE8_M]
[(12.8985628, 77.63378230000001)],[ChIJSaRf-r4UrjsRVUZsvBQ_i1c]
[(12.959979, 77.71601399999997)],[ChIJnwGka8wTrjsRS2LxOvJWueg]
[(12.9401806, 77.57129609999993)],[ChIJGcw5FtDzujsR_3Ac63CsB38]
[(12.917034, 77.59697400000005)],[ChIJRYsCDqgVrjsRQlxtezNrhaQ]
[(12.9244223, 77.59700220000002)],[ChIJWwyAPJYVrjsRyw_0FeCdSyc]
[(12.9136392, 77.58553529999995)],[ChIJf35N_3AVrjsRrFxrlkTeXGo]
[(12.969891, 77.51275099999998)],[ChIJ_cZd4ho9rjsRtpUL7Kd1rQg]
[(12.972272, 77.65157099999999)],[ChIJeQHB5KoWrjsRLFgAOMLFD-k]
[(12.9911224, 77.57094419999999)],[ChIJi3upACMWrjsRhuzFrXiVypA]
