[(12.9560437, 77.73039419999998)],[ChIJMc_W0RMSrjsRzwf4DDD4xIk]
[(12.9546028, 77.72215170000004)],[ChIJXeXWID4SrjsRiwSO4wNE9GI]
[(13.1102894, 77.54331219999995)],[ChIJC4rvm2girjsRdVjnGKj_KbI]
[(13.1069743, 77.57322569999997)],[ChIJTQ7pAoYYrjsRXVGp1JAJFYw]
[(13.0923956, 77.55334399999992)],[ChIJVVVVVYQirjsRBumaJZTVFB8]
[(13.1032389, 77.57456890000003)],[ChIJFYtVFIgYrjsRdDmO3dhNFLw]
[(13.1034039, 77.57250929999998)],[ChIJnVZdwocYrjsRooOz0277iqE]
[(13.0576567, 77.5981951)],[ChIJpWPniYcXrjsRdVcWvWfHyF0]
[(12.999414, 77.62475340000003)],[ChIJkwBj0-4WrjsRFlYIxjp_Hlg]
[(13.025506, 77.60351700000001)],[ChIJoZTkP6YXrjsRXDAE9Zoee2Y]
[(13.0593043, 77.59068649999995)],[ChIJZ7mFMycYrjsRVepzUq4XnPs]
[(13.0620785, 77.54044590000001)],[ChIJUaclbLYirjsR3-VT7yvVDzI]
[(13.0205548, 77.58773180000003)],[ChIJAQAAALcXrjsRcWDmNqjEhHM]
[(13.0025943, 77.57667709999998)],[ChIJI0nI-zAWrjsRQ8LWXs8P3mc]
[(13.1004741, 77.57224070000007)],[ChIJHa8P5mIYrjsRFgDL5AIYt_4]
[(13.0033715, 77.66166859999998)],[ChIJiXVQzjERrjsRgHW_KGi-inE]
[(13.0868667, 77.58106650000002)],[ChIJsc2LB2sYrjsRQu79VxI2FlE]
[(13.0947564, 77.58457479999993)],[ChIJV7aQYmcYrjsRueCP_UIcDro]
[(12.9988918, 77.53849979999995)],[ChIJS3ZLoaI9rjsRSN27kZVa7Yc]
[(13.026112, 77.66033600000003)],[ChIJ97VD79EQrjsR_dZXVNpZ_FU]
[(13.0813527, 77.55659070000002)],[ChIJkejL154irjsRAXoLlY3nBgo]
