[(12.934796, 77.62347299999999)],[ChIJ79mTykQUrjsRyNfO8c-9SPQ]
[(12.9397676, 77.62631090000002)],[ChIJ6crf50MUrjsRc9fjMuYf95o]
[(12.993106, 77.54572000000007)],[ChIJcyCfWJE9rjsRp9KnARixk9o]
[(12.9680169, 77.50068869999996)],[ChIJLeOnniY8rjsRLrEk4IDVVYU]
[(12.960724, 77.666202)],[ChIJK9ymQOUTrjsRuahPN11VuM0]
[(12.943651, 77.57917900000007)],[ChIJPWwUVesVrjsRdqK1rE__iM0]
[(12.945589, 77.57125599999995)],[ChIJ3RdHrvIVrjsRPqAqjA-QpEg]
[(12.9353487, 77.55691009999998)],[ChIJoT8BmiY-rjsR-Jeymv7YoTI]
[(12.98639, 77.56791599999997)],[ChIJ9Rt20hgWrjsRGpb6kpXDbDI]
[(12.9784536, 77.63108569999997)],[ChIJg8P7m6IWrjsRDI1FgJX0qrc]
[(12.939449, 77.54672349999998)],[ChIJ8UYqTTw-rjsRmYWdPLFXGiM]
[(12.9952766, 77.55014759999995)],[ChIJHUiE2ZE9rjsRi4FjBclRsnc]
[(12.9741007, 77.63574089999997)],[ChIJ5zb8T6EWrjsRQYB36sCY9Fw]
[(12.986273, 77.56805699999995)],[ChIJKRuXaB8WrjsR4nvAz3f0Cl0]
[(12.9638844, 77.63962850000007)],[ChIJbbR4gRwUrjsRjnMo22Rc3WA]
[(12.9718401, 77.61469299999999)],[ChIJuzdcxoMWrjsRtGnKeIltyh4]
[(12.938232, 77.57857000000001)],[ChIJZxZx_ZMVrjsRd12CbyQELqE]
[(12.9601711, 77.64354559999992)],[ChIJiyqDPQUUrjsRPlNqCiN8EoE]
[(12.9889574, 77.56076710000002)],[ChIJ12LAuYo9rjsRE1IGGdA7zGs]
[(12.97164, 77.65524299999993)],[ChIJQ_fwS-kUrjsRx0o4gmXY_fs]
[(12.942871, 77.59823800000004)],[ChIJEy67u7cVrjsRRysVxLMB8g4]
[(12.9408874, 77.56041809999999)],[ChIJd3zHQiA-rjsRVSa7BWNN2rg]
[(12.9461962, 77.60023260000003)],[ChIJH3yzZckVrjsRNBr3L2QOslw]
[(12.958152, 77.61883499999999)],[ChIJzRbl8y8UrjsRVQvnJWHdBHY]
[(12.938437, 77.622883)],[ChIJI4JHb04UrjsRCAUqPCEe5kY]
[(12.971892, 77.64115500000003)],[ChIJcQA5DqMWrjsR7-ww1TJubaI]
[(12.9894914, 77.49972660000003)],[ChIJGzP7xkY8rjsRC4gLEvZDO6o]
[(12.974754, 77.64064099999996)],[ChIJE8R9PncWrjsRUFQPtZFXKtQ]
[(12.932107, 77.62280199999998)],[ChIJE8R9PncWrjsRjiakDYV1n5M]
[(12.984982, 77.55334399999992)],[ChIJCYLDlrYXrjsRb6MRI9PxZvk]
[(12.932245, 77.55603300000007)],[ChIJay3g4iU-rjsRNdaeebG5k0w]
[(12.9954132, 77.6020145)],[ChIJPxK_jEIWrjsRLaaA_zjoOpI]
[(12.977988, 77.63299099999995)],[ChIJVVVV0ZA9rjsR22EVMmd0R78]
[(12.978346, 77.64078700000005)],[ChIJIxjr5ZsWrjsRRufbSgvwzDI]
[(12.971647, 77.65691400000003)],[ChIJafESolURrjsRhF02inK8Y2w]
[(12.9870172, 77.56624060000001)],[ChIJq6qqah8WrjsRgVCMiLOyyXQ]
[(12.9301041, 77.63360290000003)],[ChIJAx9qTWAUrjsReKGqmVCWv34]
[(12.9938777, 77.55074909999996)],[ChIJKyxcAo49rjsRvX_2CpkbCSY]
[(12.9814722, 77.61921389999998)],[ChIJV42u2I8WrjsREoWvovXSkNE]
[(12.9856289, 77.55943430000002)],[ChIJAQAAAKQVrjsRG5sVoCq_pNU]
[(12.98565, 77.60569299999997)],[ChIJNYxx0okWrjsRmXy6KMv_v60]
[(12.978346, 77.64078700000005)],[ChIJCT4876AWrjsREYVff3sqNOs]
[(12.9548316, 77.6229677)],[ChIJVVVVUfoTrjsR8SnlqrX750Y]
[(12.907535, 77.64782100000002)],[ChIJ-V5WGpoUrjsRu0uN-AE9Stk]
