[(12.9348011, 77.57393580000007)],[ChIJq-ssLJAVrjsR9uf4FTSLEIM]
[(12.9624638, 77.67101709999997)],[ChIJuaaSgOYTrjsR1eYPnjA-_PQ]
[(13.0190758, 77.52029360000006)],[ChIJO-K1OAM9rjsRbeXZ5JhdQ-Q]
[(12.9441282, 77.52577680000002)],[ChIJL7NWS2Y-rjsRd-Ocb309FdM]
[(13.008115, 77.63569099999995)],[ChIJ91rtetwWrjsR0OLdnj8JyYI]
[(13.0151092, 77.60694579999995)],[ChIJ1VAmkKoXrjsR4-GF9u8gWI4]
[(13.008055, 77.63554499999998)],[ChIJ662HGtwWrjsRXeGC0BIv95E]
[(12.9619534, 77.50394959999994)],[ChIJuWKcT50-rjsR1d3d_bfMaTU]
[(12.9568714, 77.65498550000007)],[ChIJMyNxx_cTrjsRSdnrRV4OwS8]
[(13.0191966, 77.53060540000001)],[ChIJHXN_Sg49rjsRt9dk9RkKqrw]
[(12.9397078, 77.57938739999997)],[ChIJkerBdJQVrjsRLtdn7oudtlM]
[(12.973734, 77.67350499999998)],[ChIJUcg2AF8RrjsR69ZkseP4WF4]
[(13.0288172, 77.55918459999998)],[ChIJ-2hBnmE9rjsRhNVbkofXWyo]
[(13.0001191, 77.61817259999998)],[ChIJmZQKgu4WrjsRJNPg0WvdvCg]
[(13.0131688, 77.60800119999999)],[ChIJp92wAQAXrjsRGNFAbbQO1co]
[(12.9226136, 77.58564369999999)],[ChIJM_5UEqAVrjsR88-qC1E9_NU]
[(12.96112, 77.70448529999999)],[ChIJsxy69i0SrjsRlM8hiMJ5f9A]
[(12.923644, 77.56891610000002)],[ChIJ4wEny4MVrjsRZM_CD_vQDec]
[(13.006084, 77.61235599999998)],[ChIJu7A4avkWrjsRLcqwmqjFBW8]
[(13.0115381, 77.61194679999994)],[ChIJEw2aQf4WrjsRAsr2sZB03H8]
[(12.9411992, 77.54905699999995)],[ChIJwQHXQT0-rjsRf8aEoK0XDD4]
[(13.0079107, 77.62111720000007)],[ChIJ5wnHneQWrjsRZ8bPQDgu0vg]
[(12.904951, 77.6273923)],[ChIJVXDAo-sUrjsR7MX22PGKeSg]
[(12.9476748, 77.49698920000003)],[ChIJr6CM5ZY-rjsRJsSXRMFUcTc]
[(12.9225541, 77.56982760000005)],[ChIJtUOrXIIVrjsRH7ujaRRIsvM]
[(12.869836, 77.65277100000003)],[ChIJb8RHZYZsrjsRzLcuLPMZXVc]
[(12.8478685, 77.58827050000002)],[ChIJk57PS81qrjsRk4VPsfWXewA]
[(12.8699331, 77.62783769999999)],[ChIJq6qqqjdrrjsRd36MG-_3dCc]
[(12.894893, 77.58167600000002)],[ChIJw7CF2UYVrjsR1Ku2sZernNc]
[(12.88908, 77.58205099999998)],[ChIJua9WtUcVrjsRBC3UsDH445c]
[(12.755126, 77.819931)],[ChIJEwAA1CZxrjsRluTIuI9jmT4]
[(12.880631, 77.59591599999999)],[ChIJt-gjaggWrjsRaxo0bkL-iAI]
[(12.8813033, 77.5960801)],[ChIJe7SgCzIVrjsRyXndIW_-Y4g]
[(12.8809644, 77.59594730000003)],[ChIJMwZ8czIVrjsRJzUh_eJvAoI]
[(12.894917, 77.63491699999997)],[ChIJJV0WOLkUrjsRkS3SzunW7yg]
[(12.7262596, 77.83277399999997)],[ChIJvSuHRrRwrjsR_fO5Z6k31ZA]
[(12.802615, 77.70269899999994)],[ChIJO0VEedJtrjsR_Ouesw0nJRE]
[(12.889846, 77.60043799999994)],[ChIJT5wyviUVrjsRmObnHPIlpbk]
[(12.710312, 77.69284900000002)],[ChIJEY4SO3pvrjsR3MaFhODKTus]
[(12.8863902, 77.55888600000003)],[ChIJGQLV1Pw_rjsRxrQBF9Q7nCE]
[(12.911375, 77.48450400000002)],[ChIJXWgjtig_rjsRHa0PUGPXNJA]
[(12.711531, 77.69881199999998)],[ChIJI8dIDnhvrjsR56S3FT_m7eI]
[(12.935571, 77.5705911)],[ChIJLxzDV44VrjsRDaTvIu-Qumc]
[(12.9225356, 77.58568430000003)],[ChIJkdXBEKAVrjsREKDht7E6Sak]
