[(12.915305, 77.48101999999994)],[ChIJz4jhoig_rjsR0_VbCC-S3LI]
[(12.915487, 77.579703)],[ChIJ8xBR-HMVrjsRJwYNhm97DdE]
[(12.9158453, 77.64292909999995)],[ChIJS2PXgoUUrjsRLvqm1sNcaw4]
[(12.9158609, 77.64288469999997)],[ChIJtVOUgoUUrjsRUJMjRampKP4]
[(12.915993, 77.64283)],[ChIJS2PXgoUUrjsRwbaWxzDpXTk]
[(12.9163354, 77.61020059999998)],[ChIJJUsWzv0UrjsR_LAmS_q7qbE]
[(12.9164439, 77.60214059999998)],[ChIJK3MY_wMVrjsRESAPrToJUHw]
[(12.9165757, 77.61011639999992)],[ChIJ7doB0f0UrjsRsRP4pYWdjzA]
[(12.9166263, 77.58565859999999)],[ChIJV7M0RQsVrjsRjfVnBOaLHxk]
[(12.916653, 77.59483829999999)],[ChIJHwoRyggVrjsRFXOLxQOdAPI]
[(12.9169223, 77.61938699999996)],[ChIJf7nyXf8UrjsRHVcJEXAZOKU]
[(12.9175002, 77.67154819999996)],[ChIJz5gAznMTrjsR770kxgIWPes]
[(12.917762, 77.59204999999997)],[ChIJjyUyFQkVrjsRsQZWFP3VdQA]
[(12.9177939, 77.57483400000001)],[ChIJdSdLc3cVrjsRdUtPlWW735Y]
[(12.918019, 77.59189400000002)],[ChIJxUlcOQkVrjsRe5YKov7tJNk]
[(12.918037, 77.59195)],[ChIJpeBvzZcVrjsR7xpSDsF_CTY]
[(12.9181432, 77.57848349999995)],[ChIJy889hnYVrjsRb4Icha4nQNE]
[(12.9184778, 77.69767279999996)],[ChIJu3pQXwITrjsR3EDMo7MqMJs]
[(12.9187536, 77.65139399999998)],[ChIJDVm3KIIUrjsR5t-z_1WUZpM]
[(12.9187736, 77.67009510000003)],[ChIJnU5TZ3ETrjsRPQMndtqbyAo]
[(12.9187736, 77.67009510000003)],[ChIJYczNXHETrjsRvnU8FaAY-Qo]
[(12.9191443, 77.60092959999997)],[ChIJk57PS81qrjsRv5Aj2O5iLIo]
[(12.919513, 77.621037)],[ChIJ426OkvcUrjsRov8kH5BAD-k]
[(12.919866, 77.56692450000003)],[ChIJ5whnRX8VrjsRk2hlpWMMFhE]
[(12.920882, 77.59325899999999)],[ChIJcdF4zAkVrjsRn1I7GHCQugM]
[(12.920883, 77.57746700000007)],[ChIJwYtuIXYVrjsRf-w2iFbRAWk]
[(12.9211287, 77.61522939999998)],[ChIJO3o_6fgUrjsRMqPycmhaSXU]
[(12.921417, 77.60379999999998)],[ChIJSV2llgAVrjsRoIJUmB6bnoM]
[(12.9217039, 77.48404430000005)],[ChIJ0wUehdk-rjsRl4nc9lF_Pu4]
[(12.9219022, 77.62103100000002)],[ChIJj22FA_gUrjsRnkAHqR6ZpaY]
[(12.9220062, 77.5672257)],[ChIJLeOX8oEVrjsRngGDQ89Xouk]
[(12.9221065, 77.60051249999992)],[ChIJ0bJYYAcVrjsR62bagJkM4iM]
[(12.9221986, 77.60388799999998)],[ChIJVV8jnAAVrjsRFnQvxun4xIc]
[(12.9222639, 77.49853170000006)],[ChIJqWECWuE-rjsR8eLsVHKHCLM]
[(12.9223215, 77.49857650000001)],[ChIJvTZ9V-E-rjsRIErvkfQ2p3E]
[(12.9225525, 77.5928897)],[ChIJRdGNeqcVrjsRJD37n7TNtqU]
[(12.922577, 77.63426500000003)],[ChIJhWreZ4oUrjsRsNuPZT_0qno]
[(12.9225875, 77.48425480000003)],[ChIJD7fBK9o-rjsRkXT7yp50geI]
[(12.92293, 77.49793279999994)],[ChIJ48nETOE-rjsRoP6kTUrI61M]
[(12.9229587, 77.61000220000005)],[ChIJ5efUa1UUrjsRfwG0R8yk27M]
[(12.9229718, 77.49883399999999)],[ChIJy0VbVeE-rjsRPOkGo7giyA4]
[(12.9230277, 77.60648519999995)],[ChIJoRtgT_4TrjsR6iwEax0G5sc]
[(12.9231958, 77.49997659999997)],[ChIJIYQZCuQ-rjsRVf4Yo8eEJpo]
[(12.9234162, 77.65022019999992)],[ChIJgwqsjYAUrjsRDh1B_yz3L-c]
[(12.9236176, 77.5697596)],[ChIJSdvVsoMVrjsRJgTA1MTL4Ls]
[(12.9237602, 77.50127369999996)],[ChIJSdkVe-Q-rjsR9657W7yieD8]
[(12.92393, 77.62912499999993)],[ChIJV0pyi18UrjsR2txvJ48mV1w]
[(12.92393, 77.62912499999993)],[ChIJV0pyi18UrjsR2txvJ48mV1w]1
[(12.9240097, 77.57010160000004)],[ChIJwauhroMVrjsRixBKRbXgNjw]
[(12.9241319, 77.73662960000001)],[ChIJkUr9iYYSrjsRsZtPOqy53xU]
[(12.9241629, 77.49986209999997)],[ChIJHRbYpu0VrjsREySmbd9-CoY]
[(12.924177, 77.49983580000003)],[ChIJWSXPFuQ-rjsRS-jTkFBoeJI]
[(12.9242266, 77.49997259999998)],[ChIJnywfFOQ-rjsR36tS0bP8LIw]
[(12.924317, 77.58595000000003)],[ChIJo4efNKAVrjsRpac8MKfixnQ]0
[(12.924317, 77.58595000000003)],[ChIJo4efNKAVrjsRpac8MKfixnQ]1
[(12.924317, 77.58595000000003)],[ChIJo4efNKAVrjsRpac8MKfixnQ]8
[(12.9245092, 77.57845250000003)],[ChIJiWsoLpwVrjsRUpZR8JqcYYg]
[(12.9245336, 77.50044120000007)],[ChIJd3AsQOQ-rjsRXSvHGh2cRus]
[(12.9245351, 77.5007276)],[ChIJiXHiaeQ-rjsRCL5pVIyBfZA]
[(12.9245462, 77.56408269999997)],[ChIJcS2d6IAVrjsR1tCrmHdKip4]
[(12.9246541, 77.500497)],[ChIJlVJJQOQ-rjsRgAHA59n7Q3Q]
[(12.924832, 77.55955300000005)],[ChIJE_4Y-GQWrjsR6aLAHVET5Qs]
