[(12.9800923, 77.62425000000007)],[ChIJV42u2I8WrjsR_e1cjeZ9guI]
[(12.9881354, 77.54129490000003)],[ChIJ5fD4JJU9rjsRInWEo1T5Rwk]
[(12.959812, 77.64457500000003)],[ChIJTzVyCwUUrjsRu2kn3eDHQ7o]
[(12.9711587, 77.62815009999997)],[ChIJidYlpp8WrjsRLIb95qxt5W0]
[(12.9886819, 77.52705779999997)],[ChIJAQAAwLc9rjsRSFPOv_0Eodg]
[(12.956346, 77.65270290000001)],[ChIJAcSoMAgUrjsRQNOKPDwbVZM]
[(12.9658866, 77.65551690000007)],[ChIJPYeMPv8TrjsRMk7ChFZFj3w]
[(12.9963551, 77.55304660000002)],[ChIJewetVo49rjsR_NxYkiHqXTI]
[(12.947798, 77.59662800000001)],[ChIJ4Rk0gsgVrjsRcL_7gXrMQCo]
[(12.999191, 77.58386300000006)],[ChIJu6JWazgWrjsRLxdfLXekf9k]
[(12.9601981, 77.64940660000002)],[ChIJCc0bP4cWrjsRB-BN_mexO6M]
[(12.9397043, 77.539041)],[ChIJOW5yeEA-rjsRLS-VJtUmBnY]
[(12.9654822, 77.61879699999997)],[ChIJ62XYfygUrjsRaHhhRF6-eSs]
[(12.996832, 77.55107399999997)],[ChIJqzBu0I89rjsRUqlwnbbGa1U]
[(12.97078, 77.64282300000002)],[ChIJETtyDagWrjsRvQb5KY8epLE]
[(12.991257, 77.55531399999995)],[ChIJVVVVVXAVrjsRI4vD2-BuD-Y]
[(12.968773, 77.64548100000002)],[ChIJV9eZZAIUrjsR2dYYnOEUMes]
[(12.9696101, 77.65053119999993)],[ChIJI1FT1AEUrjsRM4bPm4wyBYs]
[(12.9406, 77.58013299999993)],[ChIJvwM5ZJQVrjsRjoF7WIY2kNE]
[(12.9386405, 77.62216809999995)],[ChIJW_B5cEQUrjsRG20olARti6Y]
[(12.9963, 77.58129559999998)],[ChIJ9R4JGDkWrjsRXvIYF6ONcnQ]
[(12.9450496, 77.60044549999998)],[ChIJ10GctLcVrjsRigRNXoi6BxI]
[(12.958264, 77.64418899999998)],[ChIJs3ecEwUUrjsRT3DtEIQo19Y]
[(12.974177, 77.62616500000001)],[ChIJsc63tZ4WrjsR4ofLejckYR4]
[(12.9356795, 77.58556190000002)],[ChIJGz6j570VrjsRm5H3tcwDjt8]
[(12.9804816, 77.62861199999998)],[ChIJj_0yj5cWrjsROkNc4dS_2ko]
[(12.9440236, 77.61844399999995)],[ChIJ4dybbUgUrjsRRgYPuXqhv6A]
