[(12.9588109, 77.53532139999993)],[ChIJN5G8d3Q-rjsRMWeGF6pIRQI]
[(12.9663999, 77.57795229999999)],[ChIJ5ZxX6QsWrjsRoDQI0J3paI4]
[(12.9571, 77.53208300000006)],[ChIJ5d12anE-rjsRMtXXRTMDjeo]
[(12.966375, 77.57840399999998)],[ChIJs0AGCOIVrjsRRIQU18By0uk]
[(12.968702, 77.57901420000007)],[ChIJT3GxjgkWrjsRPvs_kxvFCtY]
[(12.971867, 77.58073300000001)],[ChIJf9h5iwsWrjsRVMmg5Ccvto4]
[(12.967985, 77.57862799999998)],[ChIJLbn7jAkWrjsRSJaDAsLiVOI]
[(12.9772295, 77.57568220000007)],[ChIJ____PxAWrjsRQ4ZgG0gd3IE]
[(12.961137, 77.520535)],[ChIJl8IZI38-rjsRrcGmgxFd5_M]
[(12.974017, 77.57553299999995)],[ChIJAaIGEA8WrjsRXgTz7R5Tr9Y]
[(12.9761476, 77.5264171)],[ChIJQzY66c89rjsR_WqqyL_Zg20]
[(12.96655, 77.57783300000006)],[ChIJWclZ4AkWrjsR_Ulp021dLQg]
[(12.951367, 77.53981699999997)],[ChIJxSyWxRI-rjsRMZnLp5zVP7Q]
[(12.9709, 77.58015)],[ChIJkUuc6QsWrjsRQDVFuutOppU]
[(12.972583, 77.53795000000002)],[ChIJaX7_m909rjsR3x67CEuSgRM]
[(12.9703, 77.58005000000003)],[ChIJhdhgxAsWrjsRKvRy1d01tBE]
[(12.9706512, 77.58000500000003)],[ChIJC2KMwgsWrjsRP5k8MTch-O0]
[(12.968856, 77.60173600000007)],[ChIJSWzdtXgWrjsR-pyXkzcY2Qg]
[(12.971767, 77.58063300000003)],[ChIJ_WW7jAsWrjsRWdqBV80eOro]
[(12.9733216, 77.57559530000003)],[ChIJ7bOoIg8WrjsR4ZLCmtOLPHo]
[(12.971267, 77.58051699999999)],[ChIJib7Z7AsWrjsR5HuVaJYQlX8]
[(12.9724856, 77.57445740000003)],[ChIJG-7OSA8WrjsRsqjZxDQ4A5k]
[(12.9712298, 77.58027570000002)],[ChIJSz8u7AsWrjsRcH3C9S18Ycw]
[(12.9713736, 77.58034459999999)],[ChIJ09eS7QsWrjsRcf83BURFrWc]
