[(12.956989, 77.56373299999996)],[ChIJF2uANPcVrjsRGbCfkHLw1Ts]
[(12.95816, 77.57763)],[ChIJQxVrSuQVrjsRTuM1u3XkZqM]
[(12.9704899, 77.57351419999998)],[ChIJtQT8GgYWrjsRYzDKPx5xDk8]
[(12.9714465, 77.57850009999993)],[ChIJE8R9PncWrjsROLa9FuLMcwg]
[(12.9713482, 77.58053749999999)],[ChIJn3tA7QsWrjsRJ62cO2K-QAQ]
[(12.9675161, 77.57197199999996)],[ChIJVVVVlQcWrjsR-AHDLQES_bA]
[(12.961647, 77.57760200000007)],[ChIJP8sZk-MVrjsRb2XsDwPTzRo]
[(12.9724211, 77.55282280000006)],[ChIJ8YxVDPs9rjsRqL9uYiGzL40]
[(12.964712, 77.57370330000003)],[ChIJ1YoEEwgWrjsR0GxfbYzqfLE]
[(12.9591766, 77.57961810000006)],[ChIJy_rNGeQVrjsRcNsxK97hNqA]
[(12.9700241, 77.57511190000002)],[ChIJfRzgoAcWrjsRGybdDDxGH-s]
[(12.972073, 77.572814)],[ChIJCbHu_QUWrjsRQtAnI1JqXVE]
[(12.9711693, 77.57755199999997)],[ChIJn9vkQgkWrjsRyPkaJ-F_oWE]
[(12.9609818, 77.55047590000004)],[ChIJYaFKmQg-rjsROprJB5vhkEc]
[(12.9715426, 77.58043010000006)],[ChIJqVGN8gsWrjsR_12f1FRBePk]
[(12.9569886, 77.56373289999999)],[ChIJV8l33voVrjsRpQ-cHj2-WmU]
[(12.969917, 77.57026700000006)],[ChIJgZ0f9AYWrjsRnWZTAAGEWro]
[(12.968385, 77.53693299999998)],[ChIJUels3t09rjsRd9uIeSNthxM]
[(12.969067, 77.573983)],[ChIJ9UWFhwgWrjsRrYdILdTTE00]
[(12.9704862, 77.5562367)],[ChIJN7PYqf49rjsROv7YNDq-UcQ]
[(12.956983, 77.56970000000001)],[ChIJRx6zT_oVrjsRD_612RQyfWc]
[(12.967383, 77.541833)],[ChIJoxw4VeA9rjsRIfzfSqy4KcY]
[(12.9691997, 77.55917390000002)],[ChIJAdlyHf89rjsRtfnE7kjdsmY]
[(12.9577859, 77.55464899999993)],[ChIJp4s5QgQ-rjsRZ_gO7Ci7PCI]
[(12.971956, 77.53811700000006)],[ChIJIx6ekd09rjsRjvb16KPtsgs]
[(12.956383, 77.576233)],[ChIJQUJQdeUVrjsRa_ZpBE58KgI]
[(12.96661, 77.57350500000007)],[ChIJBa0_BwgWrjsR7PWpyieSxtM]
[(12.9611294, 77.5752367)],[ChIJH3YtZOMVrjsRsvO6sh3vJhM]
[(12.9675161, 77.57197199999996)],[ChIJVVVVlQcWrjsRkPMlalDM43I]
[(12.971684, 77.55440999999996)],[ChIJ9cj1kfs9rjsRHvIH8UMicE8]
[(12.9579332, 77.5676406)],[ChIJM6CDffkVrjsRq_FF-U0K5-E]
[(12.95927, 77.567184)],[ChIJD-GDXvkVrjsRE_Faj_OAAUM]
