[(12.9258674, 77.57369859999994)],[ChIJmVy9tZwVrjsRPfL_iOMl-_4]
[(12.9224, 77.58718299999998)],[ChIJFVMmZaAVrjsRsWXyXJo99Ok]
[(12.9216154, 77.57470060000003)],[ChIJbUV6a50VrjsRb0iUYbBV830]
[(12.9270083, 77.58890259999998)],[ChIJL_TKZqEVrjsR2yeTaoUs4iA]
[(12.9237052, 77.57035429999996)],[ChIJ80M7q4MVrjsReMIB1dnkXt0]
[(12.9969221, 77.53005469999994)],[ChIJq6qq3ro9rjsRT_-Qf8s4wD0]
[(13.004817, 77.704383)],[ChIJoXlwbaYRrjsR5FOUB7fDeTk]
[(12.9186, 77.55780000000004)],[ChIJOwgG69Q_rjsRff2PRxJr9bs]
[(12.896234, 77.63531699999999)],[ChIJlyIot74UrjsRUhKEb12VhXw]
[(13.0037311, 77.56243889999996)],[ChIJOygU2ykWrjsRCv05CzMk49Y]
[(12.990975, 77.68004599999995)],[ChIJZ61QYEgRrjsRGrgr2tAA5E8]
[(13.0033153, 77.69975520000003)],[ChIJ-ddVf6cRrjsRECNs7DuFFCg]
[(12.9963588, 77.57143129999997)],[ChIJGZx04yQWrjsREZ6Y95AZMik]
[(13.00855, 77.61281699999995)],[ChIJ0TXSpP4WrjsRn5Zj-W93zcM]
[(12.9180223, 77.58916769999996)],[ChIJVVVVlZwVrjsRN54TRoh0o1Q]
[(13.0139366, 77.65895309999996)],[ChIJvyMsIioRrjsRL3ixc24KEco]
[(12.9982035, 77.61330629999998)],[ChIJyZEey_YWrjsRxIinQwOuB2A]
[(12.9180125, 77.57346099999995)],[ChIJE8R9PncWrjsRdEjw7rNsn80]
[(13.0030814, 77.60635409999998)],[ChIJVVVVlVcWrjsRSRiJZuJcsvo]
[(13.0063832, 77.50416480000001)],[ChIJzYLHI1g8rjsRaPdYN3bkedk]
[(13.005113, 77.715282)],[ChIJYdq-m7tqrjsRautbAB6Epfs]
[(12.996619, 77.6042056)],[ChIJVVVVJVkWrjsRDOi-J4wdtJs]
[(13.019967, 77.50452799999994)],[ChIJ7dB-VuU8rjsRIyOpaM6VAlQ]
[(13.033261, 77.57895800000006)],[ChIJ29PMHcIXrjsRBIGeCspxljc]
[(13.051595, 77.52744899999993)],[ChIJAQAAcCg9rjsR407JLHw55fM]
[(13.024584, 77.62672599999996)],[ChIJO0Ku3BkXrjsRfF9yAFTv5Mc]
[(13.0416446, 77.54403589999993)],[ChIJQ_h2UEA9rjsRfMqN_Epko20]
[(13.0245231, 77.64072579999993)],[ChIJq6qqutU8rjsROOkfcJj0H94]
[(13.0405491, 77.57737650000001)],[ChIJe3kCxu4XrjsRNRs4zCbbAwk]
[(13.0229715, 77.56033300000001)],[ChIJPWMCx2I9rjsRY_TC1wt3fxo]
[(13.0296273, 77.60608809999997)],[ChIJDY49NKcXrjsRhOBRz5ZA398]
[(13.0435086, 77.54633690000003)],[ChIJcUn3jEU9rjsRS3u3Ar-YoA0]
[(13.042352, 77.51101199999994)],[ChIJX7fxV9c8rjsRHmx7DPvRYCA]
[(13.0293408, 77.50822640000001)],[ChIJ-SSbZ20VrjsRzmsocQKurHg]
[(12.801883, 77.50712999999996)],[ChIJ558pVHJBrjsRA0ovlbL99Ko]
[(13.0374091, 77.56458659999998)],[ChIJtbi1vdoXrjsR7EU1YQLAiJs]
[(13.0201126, 77.63698780000004)],[ChIJzw_GxSAXrjsRMaTqom3zTMw]
[(13.0339001, 77.51321170000006)],[ChIJE8R9PncWrjsR1GeroYhO32s]
[(13.0339, 77.62253299999998)],[ChIJL-EdBBMXrjsRftSc6-72xm4]
[(13.0189334, 77.55743480000001)],[ChIJoTapYXw9rjsR2xXPavUP-XU]
[(13.047767, 77.51408300000003)],[ChIJO_old9Y8rjsRSWoD6f-OeBA]
[(13.020933, 77.60016700000006)],[ChIJASy4464XrjsRNhm71zCekS4]
[(13.0532366, 77.50767480000002)],[ChIJAUN1K9M8rjsRtCg7ABhnIvo]
[(13.0255, 77.64113299999997)],[ChIJdTnGTiUXrjsRabT8v1lJNog]
[(13.024936, 77.59291200000007)],[ChIJUZ5cbGs9rjsRAtc4G4Wata8]
[(13.030843, 77.61971119999998)],[ChIJy9ePAxIXrjsRMyvYuoZffoQ]
[(13.020483, 77.55978299999992)],[ChIJIXkoGH09rjsRFdBpNfYQZxk]
[(13.018667, 77.59881700000005)],[ChIJ2z_3e64XrjsR2cVV4QtWOe8]
[(13.057717, 77.50721699999997)],[ChIJi41qyi0jrjsRp-MWBCJuLko]
[(13.056917, 77.50293299999998)],[ChIJKR2kQzIjrjsRdr4mptOaBs4]
[(13.032717, 77.60043300000007)],[ChIJUYGzS6IXrjsRZRDFaQbuhdw]
