[(12.985207, 77.59610599999996)],[ChIJi7fcpmgWrjsR4Kz-lOcfgqM]
[(12.989783, 77.61053300000003)],[ChIJ4xg52IoWrjsRTyEb0Rj2a_4]
[(12.9909755, 77.57951449999996)],[ChIJRdwtcT4WrjsRD0M8C7LKN08]
[(13.0065902, 77.5996619)],[ChIJ63nEe1EWrjsRRR7M-FzU6Gg]
[(12.999142, 77.57839200000001)],[ChIJ6YyIPToWrjsRSeiGRUOBcfs]
[(13.0096343, 77.64338350000003)],[ChIJNVu0DygXrjsRQOi5-subRiQ]
[(12.9715175, 77.65767749999998)],[ChIJxWu7lVURrjsRcuSOo4EJc98]
[(12.9963315, 77.61362069999996)],[ChIJH_Tc__MWrjsRr9mQZxb4fF8]
[(12.9881362, 77.61798249999993)],[ChIJjexcLokWrjsR0Nf2dUyovq4]
[(12.9489327, 77.57658470000001)],[ChIJ_RUuLOwVrjsRf9XgfrTyOPo]
[(12.973316, 77.61949300000003)],[ChIJlxl0spwWrjsRZ9VMZG5DJyg]
[(12.9773737, 77.62934519999999)],[ChIJ_6UZYJgWrjsRd9NFoBK5Stw]
[(12.9794598, 77.65786890000004)],[ChIJlXLwR1IRrjsRENG1S7n_3v4]
[(12.9589033, 77.61836590000007)],[ChIJHRWhkS8UrjsRHsacxMneMAA]
[(12.960012, 77.64414499999998)],[ChIJkQksEgUUrjsRXroDPqLOxDo]
[(12.9964958, 77.61207809999996)],[ChIJT5V9n_YWrjsRCrjqVk5EcHE]
[(13.0048335, 77.6166634)],[ChIJjTph_voWrjsRQ7KApkm3yok]
[(12.9876249, 77.55010029999994)],[ChIJlbpWU-09rjsRrqiWTqkmOtE]
[(12.9874588, 77.55296799999996)],[ChIJxUv50_I9rjsRT6hpZyLA2TE]
[(12.974866, 77.63582999999994)],[ChIJHfJl_aMWrjsRJ6MSo49Q9R4]
[(12.991666, 77.57119250000005)],[ChIJsbjYAiMWrjsRyaCveLD3yJw]
[(13.0054186, 77.65956310000001)],[ChIJyx8ICy4RrjsRY545KHsZO6g]
[(12.958901, 77.65435200000002)],[ChIJz4AuHfgTrjsReZyM32CAG3w]
[(13.0068188, 77.56451709999999)],[ChIJ1c9wZC8WrjsRHJXLNjbWPcc]
[(13.0017022, 77.63177489999998)],[ChIJuUjGGOgWrjsRlowYftX4ccs]
[(12.9688785, 77.64106160000006)],[ChIJPcuGXB0UrjsRZYxarJOxIks]
[(13.001099, 77.57233440000005)],[ChIJayb86y8WrjsRzYuwsQRZFEU]
[(12.9591376, 77.65097160000005)],[ChIJ76VE0gcUrjsR1YDBUkgcaTE]
[(13.0044545, 77.57865119999997)],[ChIJM6m5NzEWrjsR53_s1UEDnnQ]
