Uncaught ReferenceError: google is not defined
Navigated to file:///F:/Project%20Elective%20-%20Traffic%20Modelling/myworkarea/index.html
[(12.972787, 77.57839000000001)],[ChIJuSDs-w4WrjsR2J3MYKmY1eY]
[(12.973289, 77.57511699999998)],[ChIJVVVVKQ8WrjsRgREiWoBmZDM]
[(12.971788, 77.57692900000006)],[ChIJMxNu0AsWrjsROgAq8kAl5fI]
[(12.9722781, 77.57687759999999)],[ChIJo4MV0g4WrjsRB2eBsuhl4zg]
[(12.971327, 77.57349199999999)],[ChIJE6vvLOAVrjsRNrejDB9vHQA]
[(12.9697864, 77.57563770000002)],[ChIJOW22-ggWrjsR4a5VrOxfXVM]
[(12.969725, 77.57702700000004)],[ChIJVbGKpgkWrjsRflG943NgdzE]
[(12.970756, 77.58056899999997)],[ChIJAQAAwAsWrjsR5YR-h6PH520]
[(12.9707555, 77.58056850000003)],[ChIJAQAAwAsWrjsRzvJtMbWlsYc]
[(12.9728, 77.57716700000003)],[ChIJQwGgxQ4WrjsR32kmtSf9s1E]
[(12.971974, 77.57670860000007)],[ChIJo4MV0g4WrjsRtOkwU5DC7Pw]
[(12.9728483, 77.57890739999993)],[ChIJBeMiHAwWrjsROpAopKznVpc]
[(12.9707555, 77.58056850000003)],[ChIJAQAAwAsWrjsRp_bEshNs2wQ]
[(12.972683, 77.57708300000002)],[ChIJo4MV0g4WrjsRcK0MwpDNSdc]
[(12.9701045, 77.57595179999998)],[ChIJo4MV0g4WrjsRhBsnLCjKRbM]
[(12.970853, 77.57772399999999)],[ChIJAQAAwAsWrjsRj7dipE_3t2c]
[(12.9720408, 77.57678080000005)],[ChIJo4MV0g4WrjsRxNqUJgdRimU]
[(12.9702, 77.57646699999998)],[ChIJo4MV0g4WrjsRXpKu8OB9lJE]
[(12.9707555, 77.58056850000003)],[ChIJAQAAwAsWrjsRsAo2rIsNC14]
[(12.970344, 77.58089799999993)],[ChIJ21aa4OEVrjsRI8wGq12ppdo]
[(12.9707912, 77.57828900000004)],[ChIJn9vkQgkWrjsRzzHAlIrwkUE]
[(12.97171, 77.57658800000002)],[ChIJo4MV0g4WrjsRKmIqa0-m1-w]
[(12.972683, 77.57708300000002)],[ChIJo4MV0g4WrjsRdNjvFB6JvM4]
[(12.970217, 77.57560000000001)],[ChIJo4MV0g4WrjsRVy_U3a_9CFU]
[(12.9706, 77.57635000000005)],[ChIJo4MV0g4WrjsRfJTDiexyOBw]
[(12.9705443, 77.58157929999993)],[ChIJf2DPowsWrjsRPDzNkwRy67s]
[(12.9720408, 77.57678080000005)],[ChIJE8R9PncWrjsRgI6NnFb6fdQ]
[(12.970017, 77.57584999999995)],[ChIJo4MV0g4WrjsRvVRQaS78Js4]
[(12.9697051, 77.57962729999997)],[ChIJXdRv0QsWrjsRm7hToa0621I]
