[(12.9349031, 77.63001009999994)],[ChIJ8QaiUl0UrjsRnkqAfYHvdzU]
[(12.9847776, 77.55588290000003)],[ChIJF4ZWgfM9rjsRnRse9zRW9gg]
[(12.9691453, 77.62926849999997)],[ChIJSQPW3Z8WrjsR47V1ZgjceHo]
[(12.9596364, 77.63836530000003)],[ChIJsxL9aRoUrjsRNAJQQhmfPrs]
[(12.9365986, 77.61803129999998)],[ChIJ01VVVU4UrjsRU7jHV7E7QXM]
[(12.9880064, 77.51227029999995)],[ChIJV0HIXsE9rjsRbR8qd6beHgM]
[(12.932589, 77.61673799999994)],[ChIJSwAATFAUrjsRYndcU2gdgSc]
[(12.9612653, 77.51122179999993)],[ChIJPQ_Xo4E-rjsRM3ccDO--Hcs]
[(12.9493687, 77.56770370000004)],[ChIJc2dBU_EVrjsRClLHNMLWV-Q]
[(12.9786, 77.64279999999997)],[ChIJO0uEJYEWrjsRQ7BedGfzreg]
[(12.9872739, 77.55416889999992)],[ChIJQUvCMfM9rjsRJQ967Iuwebo]
[(12.9948, 77.61540000000002)],[ChIJI_guv_MWrjsRf0eAxDjkEDQ]
[(12.9851811, 77.66337279999993)],[ChIJSUJibU8RrjsRKZcz9_vJ1wI]
[(12.9435549, 77.57091689999993)],[ChIJVaSP0_IVrjsRw0RM4w5Tqyw]
[(12.9947705, 77.6154464)],[ChIJvxESDu4WrjsRLVcgWA0hXls]
[(12.9473291, 77.56820859999993)],[ChIJqzPkvJcVrjsRDT-v0-pWBfU]
[(12.9952175, 77.61452469999995)],[ChIJ5zPu6_MWrjsRiPlq-yknjTI]
[(12.942516, 77.57104000000004)],[ChIJeW1bJI0VrjsRNwEWisLwIIU]
[(12.94439, 77.57225599999992)],[ChIJsQds-_IVrjsR3otM-f4nhhk]
[(12.9590728, 77.6568231)],[ChIJy-LX1fkTrjsRFVPdXcty_4M]
[(12.9308504, 77.58485610000002)],[ChIJ_TNLVZwVrjsRsZez2yPObOU]
[(12.9348627, 77.61174289999997)],[ChIJs1uhhU0UrjsRrsEannwN5CQ]
[(12.9938777, 77.66049870000006)],[ChIJr72QFjYRrjsRkflcrckDI_w]
[(12.991668, 77.57061120000003)],[ChIJgQ2MACMWrjsRku0mXtquZeM]
[(12.936383, 77.62570000000005)],[ChIJ01WAaEMUrjsROKTQp658fH0]
[(12.9598332, 77.6499129)],[ChIJN4owOAYUrjsRV5K8Z1KiGA4]
[(12.970155, 77.63858499999992)],[ChIJL0fY8qQWrjsRUOFP2Q8P1UM]
[(12.9408198, 77.57338720000007)],[ChIJnW3jf40VrjsR1ri9V-cyZ0o]
[(12.9357879, 77.61697989999993)],[ChIJGfxqyE8UrjsRfaIrGICnf74]
[(12.940552, 77.54594999999995)],[ChIJdYPWwz0-rjsR4I_--zmMZo8]
[(12.9693821, 77.64134949999993)],[ChIJk-b-zacWrjsRXhOd8KBrOK8]
[(12.978099, 77.63680780000004)],[ChIJo8-Rg6QWrjsRcSNCei1N2Uw]
[(12.9665349, 77.66119879999997)],[ChIJD_JRR_wTrjsRFf3pTXxXWZg]
[(12.9338479, 77.58277769999995)],[ChIJn25El5cVrjsRFeBLknNsJAs]
[(12.975783, 77.62583300000006)],[ChIJ7Y5UPHcWrjsRFqeis7Ce5Ig]
[(12.9928209, 77.60714459999997)],[ChIJextaRfEWrjsRh-eV4zvF_ZY]
[(12.9853976, 77.55327680000005)],[ChIJPeVlpfM9rjsRVgUutHmB910]
[(12.9734451, 77.6162908)],[ChIJydtUf4MWrjsRltgJQel7nvM]
[(12.933023, 77.58235100000002)],[ChIJI_RpgZcVrjsRNOUfUYAusBE]
[(12.9592668, 77.66614960000004)],[ChIJD_JRR_wTrjsRBy652HO2qyg]
[(12.93993, 77.62515699999994)],[ChIJfQ8j_EMUrjsRe1wwV2tuI1Q]
[(12.936695, 77.62059750000003)],[ChIJE8R9PncWrjsRc471h5nBVIg]
[(12.939558, 77.58979799999997)],[ChIJm9_yhpgVrjsRWW03UK5XVFw]
[(12.9851458, 77.55642769999997)],[ChIJ0xWDgPQ9rjsRG8fUpX5DauQ]
[(12.9568701, 77.6415925)],[ChIJI6HcGRAUrjsRcqryAqcDR1U]
[(12.9945638, 77.5708151)],[ChIJY3sTgSQWrjsR2GHNlDNPVc8]
[(12.994933, 77.61613299999999)],[ChIJEzK3tfMWrjsR0Rje5nIgB0U]
[(12.937534, 77.62442699999997)],[ChIJ76-xh0QUrjsRN3-YyiE6Ebg]
[(12.9700098, 77.65308019999998)],[ChIJgcMIRPwTrjsR8xWL-sljfnE]
[(12.9956932, 77.54009870000004)],[ChIJ2_9_y5c9rjsR18pDg7ITDEs]
[(12.959433, 77.65599799999995)],[ChIJ7Y5UPHcWrjsRNHoKwT_tlRU]
[(12.9921293, 77.66004550000002)],[ChIJlWWl-kkRrjsRaTwOxXLyZlM]
[(12.9601, 77.64491699999996)],[ChIJuUOMCQUUrjsR2SKweQejKmM]
[(12.9686049, 77.64983889999996)],[ChIJcyoLg68WrjsReV6d8Zyxb3k]
[(12.9590305, 77.65677449999998)],[ChIJ4TrM1fkTrjsRQvapo56a4vA]
[(12.9417889, 77.56178439999996)],[ChIJR2hUCiA-rjsR-dh_RIb5G4w]
[(12.9338695, 77.61154320000003)],[ChIJ7ZIdd1IUrjsR8Sb5clEHR0s]
[(12.9851262, 77.55643039999995)],[ChIJ____v74VrjsRPGdibbdpUnQ]
[(12.988681, 77.59222620000003)],[ChIJyTs5w2kWrjsRUUBX_N_nzL4]
[(12.932125, 77.62297799999999)],[ChIJ71ZuD1sUrjsRj2PbG1snn3c]
[(12.9321299, 77.6100189)],[ChIJfQl7_v0UrjsRZUQ6lfjpA_U]
[(12.9823775, 77.63771880000002)],[ChIJZfuCbLsWrjsRgsCs08DO600]
[(12.9784444, 77.62957690000007)],[ChIJMR_la5gWrjsRSFQVqz2y_LQ]
[(12.9594356, 77.65691670000001)],[ChIJW73V0_kTrjsRnmwNQBszbH0]
[(12.983683, 77.60604369999999)],[ChIJnz0iPGIWrjsRiT98nNN8-JE]
[(12.9786334, 77.63872979999996)],[ChIJTT375KQWrjsRcmcAlClYdGk]
[(12.935641, 77.61528999999996)],[ChIJ1VNI_qAVrjsRZ13QAv3PT5I]
[(12.9602598, 77.63758099999995)],[ChIJLUqRNhoUrjsRC1U1qY-fGTo]
[(12.9916994, 77.57067559999996)],[ChIJAXvlACMWrjsRedxINp7-Zpo]
[(12.9407632, 77.56419499999993)],[ChIJC3zK-4oVrjsRhFUxVc6tA3o]
[(12.9765982, 77.6465316)],[ChIJvWi3pa8WrjsRqPiwbOlPdZI]
[(12.9384099, 77.63215450000007)],[ChIJbckotmkUrjsR7cbNR9Vr_0s]
[(12.982217, 77.638733)],[ChIJLXysGbsWrjsRuEudutH42r4]
[(12.9863, 77.55629999999996)],[ChIJ_0dHUcgVrjsR8wCbYU8h9Yg]
[(12.978474, 77.64421100000004)],[ChIJIfeMpK8WrjsRXxAQe5pBoeU]
[(12.9755424, 77.64097420000007)],[ChIJP9mlFKYWrjsRpm1ZDlRSrzY]
[(12.991206, 77.53831200000002)],[ChIJWwz3F749rjsRgYAKNg-Qh6k]
[(12.9338005, 77.58282559999998)],[ChIJixeiW5YVrjsRr_ns4tiQVDA]
[(12.9413056, 77.61738489999993)],[ChIJ5_vzwUgUrjsRLsLfe0LaJrs]
[(12.9890257, 77.54672210000001)],[ChIJUzutF5M9rjsRp7ygq5bSmz8]
[(12.933006, 77.62145399999997)],[ChIJO0uEJYEWrjsRPJs1rnzUU7s]
[(12.9376813, 77.6216819)],[ChIJx3MsqUUUrjsRXhg0iWmsV9g]
[(12.979533, 77.64656070000001)],[ChIJix7Gaq4WrjsR_EQI_07mSiY]
[(12.9605439, 77.51250519999996)],[ChIJTzR4qIE-rjsRYGqm6TLLDcY]
[(12.9702536, 77.63204919999998)],[ChIJwRdbFaAWrjsRFlA0gNzyiP0]
[(12.9427856, 77.62813430000006)],[ChIJ40DFqEEUrjsRk1L9U58Icxg]
[(12.9679151, 77.65358939999999)],[ChIJo1gFegAUrjsRaQotYuvDSQw]
[(12.9840235, 77.5797202)],[ChIJgQNvqBYWrjsRgfsMc1nGZLU]
[(12.967847, 77.65252320000002)],[ChIJX6BQbwAUrjsRlSZsljXrnOs]
[(12.978237, 77.6329369)],[ChIJuSX9-qIWrjsRWgKCLyunCD4]
[(12.959742, 77.64514199999996)],[ChIJwdx2pAUUrjsRuh0r4_-G-68]
