Uncaught ReferenceError: google is not defined
Navigated to file:///F:/Project%20Elective%20-%20Traffic%20Modelling/myworkarea/index.html
[(12.9414965, 77.57048379999992)],[ChIJc23h_YwVrjsRpcg5xz74DH4]
[(12.9402136, 77.54513659999998)],[ChIJV1Yk2j0-rjsRtcWHl_TCXWw]
[(12.933438, 77.58665100000007)],[ChIJdWnVNr0VrjsR5cFKlvPDeVc]
[(12.9457296, 77.54161380000005)],[ChIJqU8f9xQ-rjsRuMDUyN_oSdw]
[(12.945088, 77.57142999999996)],[ChIJq6qq-vIVrjsRxr5zz8bN9vA]
[(12.9181108, 77.55979380000008)],[ChIJrZyKD9U_rjsRQb7gNP2JE6w]
[(12.9191036, 77.56701309999994)],[ChIJf32cN38VrjsRIbwd8kWoNMA]
[(12.9439537, 77.55500370000004)],[ChIJCzAbvxg-rjsRc7q3E46uk0U]
[(12.9396248, 77.54352619999997)],[ChIJW58vYT4-rjsRLbkjfAzqWoo]
[(12.9468245, 77.55275370000004)],[ChIJS6V3mBk-rjsRJ7jzdQR3ZRY]
[(12.9350612, 77.5632458)],[ChIJZ8-iyYkVrjsR6LP45hJKkU4]
[(12.9365451, 77.54474540000001)],[ChIJVVVVVTk-rjsRvLODh-2Uqeo]
[(12.9250217, 77.58086189999995)],[ChIJPajO7Z4VrjsRZK0PwAlPDkg]
[(12.9183703, 77.52052800000001)],[ChIJDY_bSqs_rjsRxayYw4qRbKk]
[(12.945928, 77.49369100000001)],[ChIJO9EDBZY-rjsRy6vYpWm_9to]
[(12.9429022, 77.54488900000001)],[ChIJ8y8KCBY-rjsRBadFze0JILU]
[(12.9144576, 77.56471669999996)],[ChIJA4wV030VrjsRcKMfyrKjXbI]
[(12.924871, 77.56624099999999)],[ChIJmaqqaoEVrjsR7aJtlV_pE1A]
[(12.9435462, 77.56120239999996)],[ChIJM9h78B8-rjsRZ58NYm4wbhA]
[(12.938361, 77.58652299999994)],[ChIJtbT83r0VrjsRjJ4lmTq4Nqw]
