[(12.9967645, 77.69663220000007)],[ChIJlcgd-MVxBRERz1MQ3zgNGyY]
[(12.997595, 77.54803600000002)],[ChIJyasmZ5A9rjsRpnuxezA4AT8]
[(12.927647, 77.55116999999996)],[ChIJyfnq-DE-rjsRuiLAFHf7bCI]
[(13.0249254, 77.59229949999997)],[ChIJN0TCspcXrjsRpHGBEnWt-lk]
[(13.023275, 77.59285799999998)],[ChIJ5Ss2ZLoXrjsREIg5aJ5M6DI]
[(13.001755, 77.56943899999999)],[ChIJ9XDJFi8WrjsRIobRBqt4n9Q]
[(13.004933, 77.60821699999997)],[ChIJOb6ghvgWrjsRoYESiy7hjX4]
[(12.9250841, 77.6160787)],[ChIJheHuTVYUrjsRqGE9ktG1qH8]
[(13.0570795, 77.5090884)],[ChIJQQxiaCwjrjsRA2GsR6iRDzc]
[(12.933433, 77.584967)],[ChIJ6x-_V70VrjsRZezHGUPrrjU]
[(12.9390683, 77.62131580000005)],[ChIJMelQKUwUrjsRVW8c98PSrv0]
[(12.9069088, 77.54628249999996)],[ChIJ68gLlsU_rjsR4_tyUdoFBcs]
[(12.974881, 77.67866200000003)],[ChIJbVQ_C1URrjsRH_CP_CIOdrY]
[(12.9262644, 77.55339170000002)],[ChIJ0RGShy4-rjsRPAGsw2axYkE]
[(12.9907245, 77.66388840000002)],[ChIJ4zzBZkgRrjsRr8YOjbTSiVU]
[(12.9962087, 77.68855020000001)],[ChIJmTE2og0RrjsRuZDKwgl9MLU]
[(12.9142498, 77.59943139999996)],[ChIJyRFSUAQVrjsRQ9VPYIS4VjU]
[(12.9420196, 77.69453980000003)],[ChIJaSjFCrMTrjsRBhSOgh16NN4]
[(13.0364613, 77.57466810000005)],[ChIJxfExZ-gXrjsRXo_pkmQ35ik]
[(12.9657716, 77.71799859999999)],[ChIJ26SMlSMSrjsRQ2vjWZWNzx0]
[(13.0056351, 77.56924230000004)],[ChIJ1znC6y4WrjsRnHG7-SQMSz8]
[(12.9305584, 77.58590789999994)],[ChIJcaGhCaAVrjsRuyyUeTHnkfc]
[(12.9245011, 77.56532190000007)],[ChIJywaTeoEVrjsR2v0i0k9Ihnk]
[(12.9, 77.48333300000002)],[ChIJL7ZvITo_rjsR7kq4POyA_Ww]
[(12.9974178, 77.69678240000007)],[ChIJ0wMS_woRrjsRLPA6WZ9zb_w]
[(13.0460553, 77.62056469999993)],[ChIJqbO-w28XrjsRUOwgSvFIwe4]
[(13.0062104, 77.50508790000004)],[ChIJAQJE8qQWrjsRx_WPderoYBQ]
[(12.9816776, 77.60798049999994)],[ChIJ5d8ZOIgWrjsRNkhpb2kU8Nc]
[(12.9735551, 77.57953109999994)],[ChIJx16OFgwWrjsRKHoiDl-R8Kk]
[(12.979783, 77.51005099999998)],[ChIJExg9VDE8rjsRNSWEvgxkq64]
[(12.9704918, 77.64140940000004)],[ChIJsRxT76cWrjsRHcbE7-uDxGE]
[(12.935406, 77.61389699999995)],[ChIJWfwkCU4UrjsRWw_oYYMeceQ]
[(12.9334056, 77.62640549999992)],[ChIJ____v1wUrjsRytwoXf7wwvY]
[(12.9423458, 77.60790120000001)],[ChIJG7ONKksUrjsRCtewhQg1Loo]
[(12.951552, 77.62117599999999)],[ChIJTeF6JzoUrjsRucGU9czJ9_4]
[(12.9623049, 77.59198229999993)],[ChIJuWtTQtkVrjsR9Z9vr2RmZpw]
[(12.948175, 77.69853999999998)],[ChIJPwSBSLUTrjsR0b4ZApzrHc8]
[(12.9785203, 77.64274249999994)],[ChIJQUx_46UWrjsRT5RnBPeMu1o]
[(12.9310401, 77.58617619999995)],[ChIJNwJAk6IVrjsRCd7jbHslTdc]
[(12.9195679, 77.59081830000002)],[ChIJy_FPhgkVrjsRwKiQEie04-8]
[(12.9117367, 77.63518090000002)],[ChIJze5D3IwUrjsRI6HNMOWnrFI]
[(12.9040332, 77.60182299999997)],[ChIJEwh9ShkVrjsRH7E1CAqIHiQ]
[(12.884321, 77.59623099999999)],[ChIJw0PK2DEVrjsRojJjEBHdiao]
[(12.91495, 77.61016700000005)],[ChIJb8Ulrv0UrjsRsSoha0m1Vd0]
[(12.812252, 77.69343000000003)],[ChIJQzxlVSVtrjsRbHWSEd6Gx70]
[(12.848032, 77.672415)],[ChIJvYF-apJsrjsRl7cOjxOHPAc]
[(12.9131633, 77.55872739999995)],[ChIJhcO79NY_rjsRq9RWdKv9at4]
[(12.9094359, 77.56439990000001)],[ChIJn5_nUNk_rjsRVgdpAZGZ1rM]
[(12.9065553, 77.5928116)],[ChIJhzkAGBEVrjsRIFKOQym9El4]
[(12.8831275, 77.58042320000004)],[ChIJC5E49igVrjsRu6J1w4PMrh0]
[(12.883267, 77.58337499999993)],[ChIJnYNOlUkVrjsR0ot3yyOQaL8]
[(12.893841, 77.58128399999998)],[ChIJxeZsH0EVrjsR8T571WpF1iE]
[(12.8972013, 77.59990429999993)],[ChIJpzD-USIVrjsRbZ3Q-Poo7p0]
[(12.8645648, 77.65674779999995)],[ChIJARnf4qZsrjsRFiuoQ_Z_myk]
[(12.8759798, 77.59583169999996)],[ChIJNSnPRM1qrjsR12gM0n_s2gs]
[(12.8761274, 77.59594070000003)],[ChIJlXAfRc1qrjsRM6HsXY-UvFU]
[(12.8845097, 77.60355219999997)],[ChIJucCHr_0UrjsRlcR46ZoQn-Q]
[(12.8761551, 77.59581260000004)],[ChIJL9CZW81qrjsRwoNM-s7sCK0]
[(12.9020803, 77.58424760000003)],[ChIJ-WsX0hQVrjsRtZHUEJfjypc]
