[(12.925462, 77.564392)],[ChIJeZGwLIcVrjsRrUks1EOehd4]
[(12.91705, 77.65176799999995)],[ChIJlzXdRoIUrjsRw4ZQig7zTf4]
[(12.926315, 77.57489220000002)],[ChIJ06ixmJwVrjsRTuxW60dDqCQ]
[(12.9361683, 77.57614330000001)],[ChIJ6aNlguw9rjsRhfsvak6QTuI]
[(12.9626882, 77.64093609999998)],[ChIJt2V8QRsUrjsR7iQAdkXJ6Xg]
[(12.954682, 77.65039000000002)],[ChIJxwEADAkUrjsR4Z2-qTxKAeA]
[(12.954682, 77.65039000000002)],[ChIJxwEADAkUrjsRPYrlK7S6eKg]
[(12.954682, 77.65039000000002)],[ChIJxwEADAkUrjsRDX3TqedEmRA]
[(12.9415434, 77.58405909999999)],[ChIJc47GOOc9rjsRo3gG4LWPrbk]
[(12.9203, 77.61208299999998)],[ChIJEadYH_8UrjsRmOiKzjEPmYs]
[(12.933052, 77.557095)],[ChIJ-0oCbSY-rjsRsOjx7eSWtRE]
[(12.916576, 77.61011600000006)],[ChIJZUQHaFcUrjsRsThmJfAkYSg]
[(12.945213, 77.54840179999997)],[ChIJT8YeCBc-rjsR6i53GntEyS0]
[(12.9365451, 77.54474540000001)],[ChIJVVVVVTk-rjsRPGq2JCeSPmw]
[(12.928826, 77.5458443)],[ChIJuZis3DA-rjsRAVQNtiMmVnk]
[(12.9607387, 77.50634820000005)],[ChIJbeN55oI-rjsRB9dI9kkyMTg]
[(12.9522791, 77.48972379999998)],[ChIJp9p8GKM-rjsRV2IBAGdgGk8]
[(12.9092229, 77.61239669999998)],[ChIJ8dXPc-MUrjsRkuALrsE2FLI]
[(12.9062202, 77.55755590000001)],[ChIJNy2Wn9k_rjsRechqVputR54]
[(12.9189406, 77.52024200000005)],[ChIJqXCtyVQ-rjsRanQlWC2fgvI]
[(12.9071376, 77.54670529999999)],[ChIJb4a8l8U_rjsRdlOUHI_R9t0]
[(12.9130852, 77.59521730000006)],[ChIJcTwRmQ8VrjsR28ejq3vNfP8]
[(12.9076987, 77.56647339999995)],[ChIJU1ysa2MVrjsRQSvYNnaWPFM]
[(12.9280041, 77.50379529999998)],[ChIJza9UW-U-rjsRUsLgZa8F5yY]
[(12.914514, 77.63688300000001)],[ChIJfT9ncY4UrjsRf_RkrN2s-rY]
[(12.9125534, 77.63798529999997)],[ChIJo39F3pEUrjsRPzxGTqJBeYc]
[(12.9054254, 77.56316670000001)],[ChIJy5QOaWIVrjsR1JOrVcgJAks]
[(12.8871773, 77.61133799999993)],[ChIJ9WQNEtcUrjsRo26OHEvQ6Dk]
[(12.8968699, 77.58561450000002)],[ChIJRfoGkD8VrjsR8ytv6A3Pcig]
